&v1
!10101
Sewer Cleaner	104.38090658542095	-10.200147885968555	166.0274459401403	1
Lore	42.78838932889721	25.47249342846726	162.12387287482488	1
!10201
Scavenger Patriarch	211.24393674728344	62.824874844402075	-124.51548825297505	1
Necro	345.92607803222927	115.70407853064074	-108.65063019354056	1
Stone	350.7253311273307	124.20999649531666	-198.66579921608354	1
!10301
Merchant	-166.49761524737045	109.32000033990576	141.00113986223542	1
Three-Faced Pardoner	-615.5811811395033	-3.6499998420476913	123.23600323709616	1
!10302
Cleansing Knight	-596.4962229161174	15.359999488646281	102.30679256921576	1
!10401
Saint	-158.0999615853133	-75.54399419389665	-224.24351881489426	1
Eunomia	-411.89845209848136	-106.18000113964081	-581.7483287474897	1
!10501
Choirmaster	32.90054899183417	26.319970359503642	-115.36743131420008	1
!10502
Seraphim Absolver	-28.884507637370007	54.5199969016299	-154.2086423793786	1
Boss Rush	8.650323408190161	87.09999792074908	-509.11347298452165	1
!10504
Loskid	142.27225048795435	27.869998364243656	142.4275969568107	1
!10601
Soil	178.11906061321497	-22.137268761619282	11.960900426842272	1
Covenant: Sewer Town	201.88977573625016	6.819988829546247	75.15872214379488	1
Hunter of Bladers	324.59067854005843	-3.099999651312828	45.69094843612402	1
!10701
Persephone	0.12638121627517762	-89.18000096482427	56.464065126629976	1
